 by Role ,按角色
Select Attachments,選擇附件
Select Document Type,選擇文件類型
Select Document Type or Role to start.,選擇文件類型或角色開始。
Select Print Format,選擇打印格式
Select Report Name,選擇報告名稱
Select Role,選擇角色
Select To Download:,選擇要下載：
Select Type,選擇類型
Select User or DocType to start.,選擇用戶或的DocType啟動。
Select a Banner Image first.,首先選擇一個橫幅圖像。
Select an image of approx width 150px with a transparent background for best results.,選擇約寬150像素的透明背景以獲得最佳效果的圖像。
Select dates to create a new ,
"Select modules to be shown (based on permission). If hidden, they will be hidden for all users.",要顯示的選擇的模塊（基於權限）。如果隱藏的，他們會被隱藏於所有用戶。
Select or drag across time slots to create a new event.,選擇或拖動整個時隙，以創建一個新的事件。
"Select target = ""_blank"" to open in a new page.",選擇目標=“_blank”在新頁面中打開。
Select the label after which you want to insert new field.,之後要插入新字段中選擇的標籤。
Send,發送
Send Alert On,發送警報在
Send As Email,發送電子郵件
Send Email,發送電子郵件
Send Email Print Attachments as PDF (Recommended),發送郵件打印附件為PDF格式（推薦）
Send Me A Copy,給我發一份
Send Password,發送密碼
Send Print as PDF,發送打印為PDF
Send alert if date matches this field's value,發送警報，如果日期匹配該字段的值
Send alert if this field's value changes,發送警報，如果這個字段的值改變
Send an email reminder in the morning,發送電子郵件提醒，早上
Send download link of a recent backup to System Managers,發送最近的備份的下載鏈接系統經理
Send enquiries to this email address,發送諮詢到這個郵箱地址
Sender,寄件人
Sent,發送
Sent Mail,發送郵件
Sent Quotation,發送報價
Sent or Received,發送或接收
Series,系列
Series {0} already used in {1},系列{0}已經被應用在{1}
Server,服務器
Server & Credentials,服務器和證書
Server Error: Please check your server logs or contact tech support.,服務器錯誤：請檢查您的服務器日誌或聯繫技術支持。
Session Expired. Logging you out,會話過期。您的退出
Session Expiry,會話過期
Session Expiry in Hours e.g. 06:00,會話過期的時間，例如06:00
Session Expiry must be in format {0},會話到期格式必須是{0}
Set Banner from Image,從圖像設置橫幅
Set Link,設置鏈接
Set Login and Password if authentication is required.,如果需要身份驗證設置登錄名和密碼。
Set Only Once,設置一次
Set Password,設置密碼
Set Permissions on Document Types and Roles,在文件類型和角色設置權限
Set Permissions per User,每個用戶設置權限
Set User Permissions,設置用戶權限
Set Value,設定值
"Set default format, page size, print style etc.",設置默認格式，頁面大小，打印樣式等。
Set numbering series for transactions.,設置編號系列交易。
Set outgoing mail server.,設置發送郵件服務器。
Settings,設置
Settings for About Us Page.,設置關於我們頁面。
Settings for Contact Us Page.,設置聯繫我們頁面。
Setup,設置
Setup > User,設置>用戶
Setup > User Permissions Manager,設置>用戶權限管理
Setup Email Alert based on various criteria.,設置電子郵件警報根據不同的標準。
Setup of fonts and background.,設置字體和背景。
"Setup of top navigation bar, footer and logo.",安裝程序的頂部導航欄，頁腳和徽標。
Short Bio,個人簡介
Short Name,簡稱
Shortcut,捷徑
Show / Hide Modules,顯示/隱藏模塊
Show Print First,顯示打印首
Show Tags,顯示標籤
Show or hide modules globally.,顯示或隱藏全局模塊。
Show rows with zero values,秀行與零值
Show tags,顯示標籤
Show this field as title,顯示此字段作為標題
Showing only for (if not empty),僅顯示為（如果不為空）
Sidebar,邊欄
Sidebar Items,邊欄項目
Sidebar Links for Home Page only,邊欄鏈接的主頁只
Sign Up,報名
Sign in,登錄
Sign up,報名
Single Post (article).,單個帖子（文章）。
Single Types have only one record no tables associated. Values are stored in tabSingles,單一類型只有一個記錄關聯的表。值被存儲在tabSingles
Sitemap Browser,網站地圖瀏覽器
Slideshow,連續播放
Slideshow Items,幻燈片項目
Slideshow Name,幻燈片放映名稱
Small Text,小文
Social Login Keys,社交登錄鍵
Solid background color (default light gray),純色背景色（默認淺灰色）
Sorry we were unable to find what you were looking for.,對不起，我們無法找到您所期待的。
Sorry you are not permitted to view this page.,對不起，您沒有權限瀏覽這個頁面。
Sort By,排序
Sort Field,排序字段
Sort Order,排序
Standard,標準
Standard Print Format cannot be updated,標準打印格式不能被更新
Standard Reply,標準回复
Standard Reports,標準報告
Standard replies to common queries.,標準的答复常見查詢。
Start Report For,啟動年報
Starts on,開始於
State,態
States,國家
"States for workflow (e.g. Draft, Approved, Cancelled).",國工作流程（例如草案，批准，已取消） 。
Static File Timestamp,靜態文件的時間戳
Status,狀態
Step 1: Set the name and save.,第1步：設置名稱和保存。
Step 2: Set Letterhead content.,第2步：設置信的內容。
Style,風格
Style Settings,樣式設置
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange",風格代表按鈕的顏色：成功 - 綠色，危險 - 紅，逆 - 黑色，而小學 - 深藍色，信息 - 淺藍，警告 - 橙
Sub-domain provided by erpnext.com,由erpnext.com提供的子域
Subdomain,子域名
Subject,主題
Submit,提交
Submit an Issue,提交問題
Submitted,提交
Submitted Document cannot be converted back to draft. Transition row {0},提交的文件不能被轉換回起草。
Success,成功
Suggestion,建議
Sunday,星期天
Switch to Website,切換到網站
Sync Inbox,同步收件箱
System,系統
System Settings,系統設置
System User,系統用戶
System and Website Users,系統和網站用戶
System generated mails will be sent from this email id.,系統生成的郵件將被從這個電子郵件ID發送。
Table,表
Table {0} cannot be empty,表{0}不能為空
Tag,標籤
Tag Name,標籤名稱
Tags,標籤
Tahoma,宋體
Target,目標
Tasks,根據發票日期付款週期
Team Members,團隊成員
Team Members Heading,小組成員標題
Template,模板
Template Pages cannot be moved,模板頁面不能移動
Test,測試
Test Runner,測試運行
Text,文本
Text Align,文本對齊
Text Editor,文本編輯器
Thank you for your message,謝謝您的留言
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,您的公司/網站的，你想要顯示在瀏覽器標題欄中的名稱。所有頁面都會有這樣的前綴稱號。
The system provides many pre-defined roles. You can add new roles to set finer permissions.,該系統提供了許多預先定義的角色。您可以添加新的角色設定更精細的權限。
Then By (optional),再由（可選）
There should remain at least one System Manager,應該保持至少一個系統管理器
There were errors,有錯誤
There were errors while sending email. Please try again.,還有在發送電子郵件是錯誤的。請再試一次。
"There were some errors setting the name, please contact the administrator",有一些錯誤設置的名稱，請與管理員聯繫
"These permissions will apply for all transactions where the permitted record is linked. For example, if Company C is added to User Permissions of user X, user X will only be able to see transactions that has company C as a linked value.",這些權限將申請在那裡允許記錄被鏈接的所有交易。
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,這些值將在交易中自動更新，也將是有益的權限限制在含有這些值交易這個用戶。
"These will also be set as default values for those links, if only one such permission record is defined.",這些也將被設置為這些鏈接的默認值，如果只有一個這樣的許可記錄被定義。
Third Party Authentication,第三方認證
"This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>
myfield
eval:doc.myfield=='My Value'<br>
eval:doc.age>18","此字段將顯示只有這裡定義的字段名有值或規則是真實的（例子）：查看
 MyField的
 EVAL：doc.myfield =='我的價值“<BR> 
 EVAL： doc.age> 18"
This goes above the slideshow.,這正好幻燈片上面。
This is PERMANENT action and you cannot undo. Continue?,這是永久性的行動，你不能撤消。要繼續嗎？
"This is a standard format. To make changes, please copy it make make a new format.",這是一個標準的格式。要進行更改，請複製它使做出的新格式。
This is permanent action and you cannot undo. Continue?,這是永久的行動，你不能撤消。要繼續嗎？
This must be checked if Style Settings are applicable,這必須進行檢查，如果樣式設置適用
This role update User Permissions for a user,這個角色更新用戶權限的用戶
Thursday,星期四
Tile,瓦
Time,時間
Time Zone,時區
Timezone,時區
Title,標題
Title / headline of your page,你的頁面標題/標題
Title Case,標題案例
Title Field,標題字段
Title Prefix,標題前綴
Title field must be a valid fieldname,標題字段必須是有效的字段名
Title is required,標題是必需的
To,至
To Do,要不要
"To format columns, give column labels in the query.",要格式化列，給列標籤在查詢中。
"To give acess to a role for only specific records, check the 'Apply User Permissions'. User Permissions are used to limit users with such role to specific records.",為了讓接取僅針對特定記錄的角色，選中“應用用戶權限” 。
"To run a test add the module name in the route after '{0}'. For example, {1}",運行測試後， “{0}”添加模塊名稱的路線。例如， {1}
ToDo,待辦事項
Too many writes in one request. Please send smaller requests,太多的寫在一個請求。請將較小的請求
Top Bar,頂欄
Top Bar Background,頂欄背景
Top Bar Item,頂欄項目
Top Bar Items,頂欄項目
Top Bar Text,頂欄文本
Top Bar text and background is same color. Please change.,最上面一欄的文本和背景顏色相同。請更改。
Transaction,交易
Transition Rules,過渡規則
Tuesday,星期二
Tweet will be shared via your user account (if specified),推文將通過您的用戶帳戶共享（如果指定）
Twitter Share,Twitter分享
Twitter Share via,Twitter分享通過
Type,類型
Unable to find attachment {0},找不到附件{0}
Unable to load: {0},無法加載： {0}
Unable to open attached file. Please try again.,無法打開附加的文件。請再試一次。
Unable to send emails at this time,無法在這個時候發送電子郵件
Unknown Column: {0},未知專欄： {0}
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.",未知文件編碼。嘗試UTF-8，windows-1250訪問，windows-1252訪問。
Unread Messages,未讀消息
Unsubscribe,退訂
Unsubscribed,退訂
Upcoming Events for Today,近期活動今日
Update,更新
Update Field,更新域
Update Value,更新值
Updated,更新
Upload,上載
Upload Attachment,上傳附件
Upload CSV file containing all user permissions in the same format as Download.,上傳包含在相同的格式，下載的所有用戶權限的CSV文件。
Upload a file,上傳文件
Upload and Import,上傳和導入
Upload and Sync,上傳和同步
Uploading...,上載...
Upvotes,Upvotes
Use TLS,使用TLS
User,用戶
User Cannot Create,用戶無法創建
User Cannot Search,用戶不能搜索
User Defaults,簡介默認
User ID of a blog writer.,一個博客寫手用戶ID。
User Image,用戶圖片
User Permission,用戶權限
User Permissions,用戶權限
User Permissions Manager,用戶權限管理
User Roles,用戶角色
User Tags,用戶標籤
User Type,用戶類型
"User Type ""System User"" can access Desktop. ""Website User"" can only be logged into the website and portal pages. ",
User Vote,用戶投票
User not allowed to delete {0}: {1},用戶不得刪除{0}：{1}
User permissions should not apply for this Link,用戶權限不應該申請這個鏈接
User {0} cannot be deleted,用戶{0}無法刪除
User {0} cannot be disabled,用戶{0}不能被禁用
User {0} cannot be renamed,用戶{0}無法重命名
User {0} does not exist,用戶{0}不存在
UserRole,的UserRole
Users and Permissions,用戶和權限
Users with role {0}:,與角色的用戶{0} ：
Valid Login id required.,有效的登錄ID必需的。
Valid email and name required,需要有效的電子郵件和姓名
Value,值
Value Change,值變動
Value Changed,更改的值
Value cannot be changed for {0},值不能被改變為{0}
Value for a check field can be either 0 or 1,一檢查字段值可以為0或1
Value missing for,缺少值
Verdana,宋體
Version,版本
Version restored,版本恢復
View or manage Website Route tree.,查看或管理的網站路徑樹。
Visit,訪問
Warning,警告
Warning: This Print Format is in old style and cannot be generated via the API.,警告：此打印格式是舊式的，不能透過API生成的。
Web Page,網頁
Web Site Forum Page.,網站論壇頁。
Website,網站
Website Group,集團網站
Website Route,網站地圖
Website Route Permission,網站路線權限
Website Script,網站腳本
Website Settings,網站設置
Website Slideshow,網站連續播放
Website Slideshow Item,網站幻燈片項目
Website User,網站用戶
Wednesday,星期三
Welcome email sent,歡迎發送電子郵件
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.",當您修改一個文件後，取消和保存，它會得到一個新的數字，是一個版本的舊號碼。
Width,寬度
Will be used in url (usually first name).,在URL（通常是第一個名字）將被使用。
With Groups,與團體
With Ledgers,與總帳
With Letterhead,與信
Workflow,工作流程
Workflow Action,工作流操作
Workflow Action Name,工作流操作名稱
Workflow Document State,工作流文檔狀態
Workflow Document States,工作流文檔國
Workflow Name,工作流名稱
Workflow State,工作流狀態
Workflow State Field,工作流狀態字段
Workflow Transition,工作流程轉換
Workflow Transitions,工作流程轉換
Workflow will start after saving.,保存後的工作流程將啟動。
Write,寫
Write a Python file in the same folder where this is saved and return column and result.,寫一個Python文件，在這個被保存在同一文件夾中，並返回列和結果。
Write a SELECT query. Note result is not paged (all data is sent in one go).,寫一個SELECT查詢。注結果不分頁（所有數據都一氣呵成發送）。
Write titles and introductions to your blog.,寫標題和介紹給你的博客。
Writers Introduction,作家簡介
Year,年
Yes,是的
Yesterday,昨天
You are not allowed to create / edit reports,你不允許創建/編輯報導
You are not allowed to export the data of: {0}. Downloading empty template.,你是不允許出口的數據： {0} 。下載空白模板。
You are not allowed to export this report,你不准出口本報告
You are not allowed to print this document,你不允許打印此文檔
You are not allowed to send emails related to this document,你是不是允許發送與此相關的文檔的電子郵件
"You can change Submitted documents by cancelling them and then, amending them.",您可以通過取消他們，然後，對其進行修正更改已提交的文件。
You can use Customize Form to set levels on fields.,您可以使用自定義表格中的字段設置的水平。
You can use wildcard %,可以使用通配符％
You cannot install this app,您無法安裝這個程序
You have unsaved changes in this form. Please save before you continue.,你在本表格未保存的更改。
You need to be logged in and have System Manager Role to be able to access backups.,您需要先登錄，並具有系統管理員角色才能夠訪問備份。
You need write permission to rename,你需要寫權限來重新命名
"You seem to have written your name instead of your email. \
					Please enter a valid email address so that we can get back.","你似乎已經寫你的電子郵件你的名字代替。\
請輸入一個有效的電子郵件地址，以便我們能找回。"
"Your download is being built, this may take a few moments...",您的下載正在修建，這可能需要一些時間......
[Label]:[Field Type]/[Options]:[Width],[標籤]：[字段類型] / [選項]：[寬]
[Optional] Send the email X days in advance of the specified date. 0 equals same day.,[可選]發送電子郵件X天提前指定日期。 0等於同一天。
add your own CSS (careful!),添加您自己的CSS（careful!）
adjust,調整
align-center,對準中心
align-justify,對齊對齊
align-left,對齊左
align-right,對齊，右
and,和
arrow-down,箭頭向下
arrow-left,箭頭左
arrow-right,箭頭向右
arrow-up,向上箭頭
asterisk,星號
backward,落後
ban-circle,禁令圈
barcode,條形碼
beginning with,開頭
bell,鐘
bold,膽大
book,書
bookmark,書籤
briefcase,公文包
bullhorn,擴音器
calendar,日曆
camera,相機
certificate,證書
check,查
chevron-down,雪佛龍跌
chevron-left,人字形左
chevron-right,雪佛龍 - 右
chevron-up,雪佛龍達
circle-arrow-down,圓圈箭頭向下
circle-arrow-left,圓圈箭頭向左
circle-arrow-right,圓圈箭頭向右
circle-arrow-up,圓圈箭頭行動
cog,COG
comment,評論
comments,評論
dd-mm-yyyy,日 - 月 - 年
dd.mm.yyyy,DD.MM.YYYY
dd/mm/yyyy,日/月/年
download,下載
download-alt,下載的Alt
edit,編輯
eject,噴射
envelope,信封
exclamation-sign,驚嘆號標誌
eye-close,眼睛閉
eye-open,眼開
facetime-video,FaceTime的視頻
fast-backward,快退
fast-forward,快進
file,文件
film,電影
filter,過濾器
fire,火
flag,旗
folder-close,文件夾閉
folder-open,文件夾打開
font,字形
forward,向前
found,發現
fullscreen,全屏
gift,禮物
glass,玻璃
globe,地球
hand-down,用手向下
hand-left,手左
hand-right,手右
hand-up,手機
hdd,硬盤
headphones,頭戴耳機
heart,心臟
home,家
icon,圖標
inbox,收件箱
indent-left,縮進左
indent-right,縮進，右
info-sign,信息符號
is not allowed.,是不允許的。
italic,斜體
leaf,葉
lft,LFT
list,表
list-alt,列表ALT
lock,鎖
lowercase,小寫
magnet,磁鐵
map-marker,地圖標記物
memcached is not working / stopped. Please start memcached for best results.,memcached是不工作/停止。請啟動memcached的最佳效果。
minus,減
minus-sign,減號
mm-dd-yyyy,MM-DD-YYYY
mm/dd/yyyy,月/日/年
move,移動
music,音樂
none of,沒有
off,離
ok,行
ok-circle,OK-圈
ok-sign,OK-跡象
one of,一
or,或
pause,暫停
pencil,鉛筆
picture,圖片
plane,機
play,玩
play-circle,玩圈
plus,加
plus-sign,加號
print,打印
qrcode,QRcode的
question-sign,問題符號
random,隨機
refresh,刷新
remove,清除
remove-circle,刪除圈
remove-sign,刪除符號
repeat,重複
resize-full,調整滿
resize-horizontal,調整大小，水平
resize-small,調整大小小
resize-vertical,調整垂直
retweet,轉推
rgt,RGT
road,道路
screenshot,屏幕截圖
search,搜索
share,共享
share-alt,股份ALT
shopping-cart,購物推車
signal,信號
star,明星
star-empty,明星空
step-backward,一步落後
step-forward,步向前
stop,停止
tag,標籤
tags,標籤
"target = ""_blank""",目標=“_blank”
tasks,任務
text-height,文字高度
text-width,文字寬度
th,日
th-large,TH-大
th-list,日列表
thumbs-down,拇指向下
thumbs-up,豎起大拇指
time,時間
tint,色彩
to,至
trash,垃圾
upload,上載
use % as wildcard,使用％作為通配符
user,用戶
user_image_show,user_image_show
values and dates,值和日期
values separated by commas,用逗號分隔的值
volume-down,容積式
volume-off,體積過
volume-up,容積式
warning-sign,警告符號
wrench,扳手
yyyy-mm-dd,年 - 月 - 日
zoom-in,放大式
zoom-out,拉遠
{0} List,{0}列表
{0} added,{0}添加
{0} by {1},{0} {1}
{0} cannot be set for Single types,{0}不能單類型設置
{0} does not exist in row {1},{0}中不存在的行{1}
{0} in row {1} cannot have both URL and child items,{0}行{1}不可兼得的URL和子項
{0} is not a valid email id,{0}不是一個有效的電子郵件ID
{0} is required,{0}是必需的
{0} is saved,{0}被保存
{0} must be one of {1},{0}必須是{1} 1
{0} must be set first,{0}必須首先設置
{0} not a valid State,{0}不是有效的國家
{0} not allowed in fieldname {1},{0}的字段名不允許{1}
{0} not allowed in name,{0}名不允許
{0} not allowed to be renamed,{0}不允許改名
{0} updated,{0}更新
{0} {1} already exists,{0} {1}已經存在
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1}不能為“{2}”。它應該是一個“{3}”
{0} {1} cannot be a leaf node as it has children,{0} {1}不能是一個葉節點，因為它有孩子
"{0} {1} does not exist, select a new target to merge",{0} {1}不存在，選擇一個新的目標合併
{0} {1} not found,{0} {1}未找到
{0} {1}: Submitted Record cannot be deleted.,{0} {1}：呈交記錄不能被刪除。
{0}: Cannot set Amend without Cancel,{0} ：無法設置沒有修改取消
{0}: Cannot set Assign Amend if not Submittable,{0} ：無法設置指定修改，如果不Submittable
{0}: Cannot set Assign Submit if not Submittable,{0} ：無法設置指定提交如果不是Submittable
{0}: Cannot set Cancel without Submit,{0} ：無法設置取消沒有提交
{0}: Cannot set Import without Create,{0} ：無法設置導入創建無
"{0}: Cannot set Submit, Cancel, Amend without Write",{0} ：無法設置提交，取消，修改不寫
{0}: Cannot set import as {1} is not importable,{0} ：無法設置導入為{1}不是可導入
"{0}: Create, Submit, Cancel and Amend only valid at level 0",{0} ：創建，提交，取消和修改只適用於0級
{0}: No basic permissions set,{0} ：無基本權限設置
"{0}: Only one rule allowed with the same Role, Level and Apply User Permissions",{0} ：只有一個規則允許用相同的角色，級別和應用用戶權限
{0}: Permission at level 0 must be set before higher levels are set,{0} ：權限在0水平必須更高級別都設置前設置
{app_title},{ app_title }
