 by Role ,von Rolle
 can not be marked as a ledger as it has existing child,"nicht als Ledger gekennzeichnet, da es bestehenden Kind"
 is not set,nicht gesetzt
"""Company History""",Firmengeschichte
"""Team Members"" or ""Management""","Teammitglieder oder ""Management"""
0,0
"000 is black, fff is white","000 ist schwarz, weiß fff"
1,1
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
2,2
2 days ago,Vor 2 Tagen
"<a onclick=""msgprint('<ol>\
<li><b>field:[fieldname]</b> - By Field\
<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\
<li><b>Prompt</b> - Prompt user for a name\
<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\
</ol>')"">Naming Options</a>",
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,<b> Abbrechen </ b> können Sie ändern eingereichten Unterlagen durch Vernichtung von ihnen und zur Änderung ihnen.
A new popup will open that will ask you to select further conditions.,"Ein neues Pop-up öffnet das wird Sie bitten, weitere Bedingungen zu wählen."
A user can have multiple values for a property.,Ein Benutzer kann mehrere Werte für eine Eigenschaft.
About,Über
About ERPNext,Über ERPNext
About Us Settings,Über uns Settings
About Us Team Member,Über uns Team Member
Account Id,Konto-ID
Action,Aktion
Actions,Aktionen
Add,Hinzufügen
Add A New Rule,Fügen Sie eine neue Regel
Add A Property,Fügen Sie eine Eigenschaft
Add Attachments,Anhänge hinzufügen
Add Bookmark,Lesezeichen hinzufügen
Add CSS,Fügen Sie CSS
Add Column,Spalte hinzufügen
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,In Google Analytics ID: zB. UA-89XXX57-1. Bitte suchen Sie Hilfe zu Google Analytics für weitere Informationen.
Add Message,Nachricht hinzufügen
Add New Permission Rule,Add New Permission Rule
Add Reply,Fügen Sie Antworten
Add Serial No,In Seriennummer
Add Total Row,In insgesamt Row
Add a banner to the site. (small banners are usually good),Hinzufügen einen Banner auf der Website. (Kleine Banner sind in der Regel gut)
Add attachment,Anhang hinzufügen
Add code as &lt;script&gt;,Fügen Sie Code wie <script>
Add new row,In neue Zeile
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","Fügen Sie den Namen <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> zB &quot;Offene Sans&quot;"
Add to To Do,In den To Do
Additional Info,Zusätzliche Informationen
Address,Adresse
Address and other legal information you may want to put in the footer.,Adresse und weitere rechtliche Informationen möchten Sie vielleicht in der Fußzeile setzen.
Address to be displayed on the Contact Page,Adresse auf der Kontakt Seite angezeigt werden
Adds a custom field to a DocType,Fügt ein benutzerdefiniertes Feld zu einem DocType
Adds a custom script (client or server) to a DocType,Fügt ein benutzerdefiniertes Skript (Client oder Server) zu einem DocType
Advanced Scripting,Advanced Scripting
Advanced Settings,Erweiterte Einstellungen
All Day,All Day
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Alle möglichen Workflow-Status und Rollen des Workflows. <br> DocStatus Optionen: 0 wird ""Gespeichert"" wird ein ""Eingereicht"" und 2 ""Cancelled"""
Allow Attach,Lassen Befestigen
Allow Import,Erlauben Sie importieren
Allow Import via Data Import Tool,Erlauben Import via Datenimport-Werkzeug
Allow Rename,Lassen Sie Umbenennen
Allow on Submit,Lassen Sie auf Absenden
Allow user to login only after this hour (0-24),"Lassen Sie Benutzer nur anmelden, nach dieser Stunde (0-24)"
Allow user to login only before this hour (0-24),"Lassen Sie Benutzer nur anmelden, bevor dieser Stunde (0-24)"
Allowed,Erlaubt
Already Registered,Bereits angemeldete
Amend,Ändern
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","Ein Symbol-Datei mit. Ico. Sollte 16 x 16 px sein. Erzeugt mit ein Favicon-Generator. [<a Href=""http://favicon-generator.org/"" target=""_blank""> favicon-generator.org </ a>]"
Are you sure you want to delete the attachment?,"Sind Sie sicher, dass Sie den Anhang löschen?"
Arial,Arial
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User","Als Best Practice, nicht die gleiche Menge von Berechtigungen Vorschrift auf unterschiedliche Rollen stattdessen mehrere Rollen für den Benutzer"
Ascending,Aufsteigend
Assigned By,Zugewiesen von
Assigned To,zugewiesen an
Attach as web link,Bringen Sie als Web-Link
Attached To DocType,Hinzugefügt zu DOCTYPE
Attached To Name,An den Dateinamen
Attachments,Zubehör
Attributions,Zuschreibungen
Auto Name,Auto Name
Auto generated,Auto generiert
Avatar,Avatar
Background Color,Hintergrundfarbe
Background Image,Background Image
Banner,Banner
Banner HTML,Banner HTML
Banner Image,Banner Bild
Banner is above the Top Menu Bar.,Banner über der oberen Menüleiste.
Begin this page with a slideshow of images,Beginnen Sie diese Seite mit einer Diashow von Bildern
Belongs to,gehört zu
Bio,Bio
Birth Date,Geburtsdatum
Blog Category,Blog Kategorie
Blog Intro,Blog Intro
Blog Introduction,Blog Einführung
Blog Post,Blog Post
Blog Settings,Blog-Einstellungen
Blog Title,Blog Titel
Blogger,Blogger
Bookmarks,Bookmarks
Brand HTML,Marke HTML
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure it
has a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px",
Bulk Email,Bulk Email
Bulk Email records.,Bulk Email Datensätze.
Button,Taste
By,Durch
COMM-,COMM-
CSS,CSS
Calendar,Kalender
Can only be exported by users with role 'Report Manager',"Kann nur von Benutzern mit der Rolle ""Report Manager"" exportiert werden"
Cancel,Kündigen
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,"Abbrechen Erlaubnis ermöglicht dem Benutzer auch, um ein Dokument (wenn sie nicht auf irgendeine andere Dokument verknüpft) zu löschen."
Cancelled,Abgesagt
Cannot Update: Incorrect / Expired Link.,Kann nicht aktualisieren : Falsche / Expired -Link.
Cannot Update: Incorrect Password,Kann nicht aktualisieren : Falsche Passwort
Cannot change from,Kann nicht ändern
Cannot edit standard fields,Kann Standardfelder nicht bearbeiten
Cannot map because following condition fails: ,"Kann nicht zuordnen, da folgende Bedingung nicht:"
"Cannot update a non-exiting record, try inserting.","Eine nicht- Verlassen Rekord kann nicht aktualisiert werden , versuchen Einfügen ."
Categorize blog posts.,Kategorisieren Blog-Posts.
Category,Kategorie
Category Name,Kategorie Name
Center,Zentrum
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.","Bestimmte Dokumente sollten nicht geändert werden, nachdem endgültig angesehen werden, wie eine Rechnung zum Beispiel. Der Endzustand für solche Dokumente wird als <b> Eingereicht </ b>. Sie können einschränken, welche Rollen können Sie auf Absenden."
Chat,Plaudern
Check,Überprüfen
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,"Aktivieren / Deaktivieren zugewiesenen Rollen der Profile. Klicken Sie auf die Rolle, um herauszufinden, welche Berechtigungen dieser Rolle hat."
Check this to make this the default letter head in all prints,"Aktivieren Sie diese Option, um es als Standard-Briefkopf in allen Ausdrucke"
Checked,Geprüft
Child Tables are shown as a Grid in other DocTypes.,Child-Tabellen werden als Grid in anderen DocTypes gezeigt.
Clear Cache & Refresh,Clear Cache & Refresh
Click here to buy subscription.,"Klicken Sie hier, um Abonnements zu kaufen."
Click on button in the 'Condition' column and select the option 'User is the creator of the document',"Klicken Sie auf die Schaltfläche in der 'Bedingung' Spalte und wählen Sie die Option ""Benutzer ist der Schöpfer des Dokuments"""
Click on row to edit.,Klicken Sie auf die Zeile zu bearbeiten.
Click to Expand / Collapse,Klicken Sie auf Erweitern / Reduzieren
Client,Auftraggeber
Close,Schließen
Code,Code
Color,Farbe
Column Break,Spaltenumbruch
Comment,Kommentar
Comment By,Kommentar von
Comment By Fullname,Kommentar von Fullname
Comment Date,Kommentar Datum
Comment Docname,Kommentar DocName
Comment Doctype,Kommentar Doctype
Comment Time,Kommentar Zeit
Comments,Kommentare
Communication,Kommunikation
Communication Medium,Communication Medium
Company History,Unternehmensgeschichte
Company Introduction,Vorstellung der Gesellschaft
Company Name,Firmenname
Complaint,Beschwerde
Condition Field,Bedingungsfeld
Contact Us Settings,Kontakt Settings
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Kontakt Optionen, wie ""Sales Query, Support-Anfrage"" etc jeweils auf einer neuen Zeile oder durch Kommas getrennt."
Content,Inhalt
Content in markdown format that appears on the main side of your page,"Content in markdown Format, das auf der Hauptseite Ihrer Seite"
Content web page.,Inhalt Web-Seite.
Control Panel,Control Panel
Controller,Regler
Copy,Kopieren
Copyright,Copyright
Core,Kern
Count,zählen
Country,Land
Create,Schaffen
Created Customer Issue,Erstellt Kunde Ausgabe
Created Opportunity,Erstellt Chance
Created Support Ticket,Erstellt Support Ticket
Currency,Währung
Currency Format,Währung Format
Custom CSS,Custom CSS
Custom Field,Custom Field
Custom Reports,Benutzerdefinierte Berichte
Custom Script,Custom Script
Custom Startup Code,Benutzerdefinierte Startup Code
Custom?,Custom?
Customize Form,Formular anpassen
Customize Form Field,Passen Form Field
"Customize Label, Print Hide, Default etc.","Passen Label, Print Hide, Standard, etc."
Daily Event Digest is sent for Calendar Events where reminders are set.,Täglich Termin Digest ist für Kalendereintrag wo Erinnerungen eingestellt gesendet.
Danger,Gefahr
Data,Daten
Date,Datum
Date Format,Datumsformat
Date must be in format,Datum muss im Format
Datetime,Datetime
Dear,Liebe
Default,Default
Default Home Page,Standard Home Page
Default Home Pages,Standard-Home-Pages
Default Print Format,Standard Print Format
Default Value,Default Value
"Default: ""Contact Us""",Default: &quot;Kontaktieren Sie uns&quot;
DefaultValue,DefaultValue
Defaults,Defaults
Defines actions on states and the next step and allowed roles.,Definiert Aktionen auf Staaten und den nächsten Schritt und erlaubt Rollen.
Defines workflow states and rules for a document.,Definiert Workflow-Status und Regeln für ein Dokument.
Delete,Löschen
Delete Row,Zeile löschen
Depends On,Depends On
Descending,Absteigend
Description,Beschreibung
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Beschreibung für die Auflistung Seite, im Klartext, nur ein paar Zeilen. (Max 140 Zeichen)"
Description for page header.,Beschreibung für Seitenkopf.
Details,Details
Did not add.,Haben Sie nicht hinzuzufügen.
Did not cancel,Haben Sie nicht abbrechen
Did not save,Nicht speichern
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Different ""Staaten"" in diesem Dokument existieren kann in. Gefällt mir ""Open"", ""Pending Approval"" etc."
Disable Customer Signup link in Login page,Deaktivieren Kunde anmelden Link in Login-Seite
Disable Signup,Deaktivieren Anmelden
Disabled,Behindert
Display Settings,Display-Einstellungen
Doc Status,Doc-Status
DocField,DocField
DocPerm,DocPerm
DocType,DOCTYPE
DocType Details,DocType Einzelheiten
DocType can not be merged,DocType nicht zusammengeführt werden
DocType is a Table / Form in the application.,DocType ist eine Tabelle / Formular in der Anwendung.
DocType on which this Workflow is applicable.,"DOCTYPE, auf denen diese Workflow-anwendbar ist."
DocType or Field,DocType oder Field
Docname,docname
Document,Dokument
Document Status transition from ,Document Status Übergang von
Document Type,Document Type
Document Types,Dokumenttypen
Document is only editable by users of role,Dokument ist nur editierbar Nutzer Rolle
Documentation,Dokumentation
Documents,Unterlagen
Download Backup,Download von Backup
Draft,Entwurf
Drafts,Dame
Drag to sort columns,Ziehen Sie Spalten sortieren
"ERPNext is an open-source web based ERP made by Web Notes Technologies Pvt Ltd.\
  to provide an integrated tool to manage most processes in a small organization.\
  For more information about Web Notes, or to buy hosting servies, go to ",
Edit,Bearbeiten
Editable,Editable
Email,E-Mail
Email Host,E-Mail-Host
Email Id where users will send support request e.g. support@example.com,"E-Mail -ID , in denen Benutzer zB Support-Anfrage senden support@example.com"
Email Login,E-Mail Anmelden
Email Password,E-Mail Passwort
Email Sent,E-Mail gesendet
Email Settings,E-Mail-Einstellungen
Email Signature,E-Mail Signatur
Email Use SSL,E-Mail verwenden SSL
Email...,E-Mail ...
Embed image slideshows in website pages.,Einbetten Bild Diashows in Web-Seiten.
Enable Comments,aktivieren Kommentare
Enabled,Aktiviert
Ends on,Endet am
Enter Form Type,Geben Formulartyp
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","Geben Standardwert Felder (keys) und Werten. Wenn Sie mehrere Werte für ein Feld hinzufügen, wird die erste abgeholt werden. Diese Standardwerte werden auch verwendet, um ""match"" permission Regeln. Um eine Liste der Felder zu sehen, <a gehen href=""#Form/Customize Form/Customize Form""> Formular anpassen </ a>."
Equals,Equals
Error,Fehler
Error: Document has been modified after you have opened it,"Fehler: Dokument wurde geändert, nachdem Sie es geöffnet haben"
Event,Veranstaltung
Event End must be after Start,Termin Ende muss nach Anfang sein
Event Individuals,Event Personen
Event Role,Event Rolle
Event Roles,Event Rollen
Event Type,Ereignistyp
Event User,Ereignis Benutzer
Events In Today's Calendar,Events in der heutigen Kalender
Every Day,Every Day
Every Month,Jeden Monat
Every Week,Jede Woche
Every Year,Jährlich
Example:,Beispiel:
Export,Exportieren
Facebook Share,Facebook
FavIcon,FavIcon
Female,Weiblich
Field Description,Feld Beschreibung
Field Name,Feldname
Field Type,Feldtyp
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Feld, das den Workflow-Status der Transaktion darstellt (wenn das Feld nicht vorhanden ist, eine neue versteckte Custom Field wird erstellt)"
Fieldname,Fieldname
Fields,Felder
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","Felder durch ein Komma (,) getrennt werden in der <br /> Suche aufgenommen werden </ b> Liste der Such-Dialogfeld"
File,Datei
File Data,File Data
File Name,File Name
File Size,Dateigröße
File URL,File URL
File size exceeded the maximum allowed size,Dateigröße überschritten die maximal zulässige Größe
Filter,Filtern
Finder,Finder
First Name,Vorname
Float,Schweben
Font (Heading),Font (Überschrift)
Font (Text),Font (Text)
Font Size (Text),Schriftgröße (Text)
Fonts,Fonts
Footer,Fußzeile
Footer Items,Footer Artikel
For All Users,Für alle Benutzer
For DocType,für DocType
"For Links, enter the DocType as range
For Select, enter list of Options separated by comma",
"For comparative filters, start with","Für vergleichende Filter, mit zu beginnen"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,"Zum Beispiel, wenn Sie stornieren und ändern 'INV004' wird es ein neues Dokument 'INV004-1' geworden. Dies hilft Ihnen, den Überblick über jede Änderung zu halten."
For example: You want to restrict users to transactions marked with a certain property called 'Territory',"Zum Beispiel: Sie möchten, dass Benutzer auf Geschäfte mit einer bestimmten Eigenschaft namens ""Territory"" markiert beschränken"
For ranges,Für Bereiche
"Format: hh:mm example for one hour expiry set as 01:00. 
Max expiry will be 72 hours. Default is 24 hours",
Forum,Forum
Forward To Email Address,Weiterleiten an E-Mail -Adresse
Friday,Freitag
Full Name,Vollständiger Name
Gantt Chart,Gantt Chart
Gender,Geschlecht
General,General
Generator,Generator
Georgia,Georgia
Get From ,Holen Sie sich ab
"Go to Setup > <a href='#user-properties'>User Properties</a> to set \
			'territory' for diffent Users.",
Google Analytics ID,Google Analytics ID
Google Plus One,Google Plus One
Google Web Font (Heading),Google Web Font (Überschrift)
Google Web Font (Text),Google Web Font (Text)
Greater or equals,Größer oder equals
Greater than,größer als
"Grid ""","Grid """
Groups,Gruppen
HTML,HTML
Header,Kopfzeile
Heading,Überschrift
Heading Text As,Unterwegs Text As
Help,Hilfe
Helvetica Neue,Helvetica Neue
Hey! There should remain at least one System Manager,Hey! Es sollte mindestens eine System-Manager bleiben
Hidden,Versteckt
Hide Actions,Ausblenden Aktionen
Hide Copy,Ausblenden kopieren
Hide Email,Ausblenden Email
Hide Heading,Ausblenden Überschrift
Hide Print,Ausblenden drucken
Hide Toolbar,Symbolleiste ausblenden
Highlight,Hervorheben
History,Geschichte
Home Page,Home Page
Home Page is Products,Home Page ist Products
Home Pages,Home Pages
ID,Identifikation
ID (name) of the entity whose property is to be set,"ID (Name) des Unternehmens, dessen Eigenschaft gesetzt werden"
Icon,Symbol
Icon will appear on the button,Icon wird auf der Schaltfläche angezeigt
"If a User does not have access at Level 0, then higher levels are meaningless","Wenn ein Benutzer keinen Zugriff auf Level 0, dann höheren Ebenen sind bedeutungslos"
"If checked, all other workflows become inactive.","Wenn aktiviert, werden alle anderen Workflows inaktiv."
"If checked, the Home page will be the default Item Group for the website.","Wenn aktiviert, wird die Startseite der Standard Artikel-Gruppe für die Website."
"If image is selected, color will be ignored (attach first)","Wenn das Bild ausgewählt ist, wird die Farbe ignoriert (legen zuerst) werden"
"If not, create a","Wenn nicht, erstellen Sie eine"
"If the 'territory' Link Field exists, it will give you an option to select it","Wenn das ""Gebiet"" Link Field existiert, wird es geben Sie eine Option, um sie auszuwählen"
"If these instructions where not helpful, please add in your suggestions at <a href='https://github.com/webnotes/wnframework/issues'>GitHub Issues</a>","Werden diese Hinweise nicht geholfen , wo , fügen Sie bitte Ihre Vorschläge an <a href='https://github.com/webnotes/wnframework/issues'> GitHub Probleme </ a>"
"If you set this, this Item will come in a drop-down under the selected parent.","Wenn Sie diese Einstellung , wird dieser Artikel in einer Drop-Down unter der ausgewählten Mutter kommen ."
Image,Bild
Image Link,Link zum Bild
Import,Importieren
In,in
In Dialog,Im Dialog
In Filter,In Filter
In List View,In Listenansicht
In Report Filter,Im Berichts-Filter
In response to,Als Antwort auf
"In the Permission Manager, click on the button in the 'Condition' column for the Role you want to restrict.","In der Permission Manager, auf die Schaltfläche in der 'Bedingung' Spalte für die Rolle, die Sie einschränken möchten."
Index,Index
Individuals,Einzelpersonen
Industry,Industrie
Info,Info
Insert After,Einfügen nach
Insert Below,Darunter einfügen
Insert Code,Code einfügen
Insert Row,Zeile einfügen
Insert Style,Legen Stil
Int,Int
Integrations,Integrations
Introduce your company to the website visitor.,Präsentieren Sie Ihr Unternehmen auf der Website Besucher.
Introduction,Einführung
Introductory information for the Contact Us Page,Einführende Informationen für den Kontakt Seite
Invalid Email,Ungültige E-Mail
Inverse,Umgekehrt
Is Active,Aktiv ist
Is Child Table,Ist Child Table
Is Default,Ist Standard
Is Mandatory Field,Ist Pflichtfeld
Is Single,Ist Single
Is Standard,Ist Standard
Is Submittable,Ist Submittable
JSON,JSON
JavaScript Format: wn.query_reports['REPORTNAME'] = {},JavaScript- Format: wn.query_reports [' REPORT '] = {}
Javascript,Javascript
Javascript to append to the head section of the page.,"Javascript, um den Kopfteil der Seite anhängen."
Keep a track of all communications,Halten Sie einen Überblick über alle Kommunikations-
Key,Schlüssel
Label,Etikett
Label Help,Label Hilfe
Lacs,Lacs
Landing Page,Landing Page
Language,Sprache
Language preference for user interface (only if available).,Bevorzugte Sprache für die Benutzeroberfläche (nur falls vorhanden).
Last IP,Letzte IP-
Last Login,Letzter Login
Last Name,Nachname
Last updated by,Zuletzt aktualisiert von
Lastmod,lastmod
Lato,Lato
Leave blank to repeat always,"Leer lassen , immer wiederholen"
Left,Links
Less or equals,Weniger oder equals
Less than,weniger als
Letter Head,Briefkopf
Letter Head Image,Briefkopf Bild
Letter Head Name,Brief Leitung Name
Letter Head in HTML,Briefkopf in HTML
Level,Ebene
"Level 0 is for document level permissions, higher levels for field level permissions.","Level 0 ist für Dokumenten-Berechtigungen, höhere für die Feldebene Berechtigungen."
Like,wie
Link,Link
Link Name,Link-Name
Link to other pages in the side bar and next section,Link zu anderen Seiten in der Seitenleiste und im nächsten Abschnitt
Link to the page you want to open,"Link zu der Seite, die Sie öffnen möchten"
Linked In Share,Linked In Teilen
Linked With,Verbunden mit
List,Liste
List of patches executed,Liste der Patches ausgeführt
Live Chat,Live-Chat
Loading,Laden
Loading Report,Loading
Loading...,Wird geladen ...
Log of Scheduler Errors,Melden von Fehlern Scheduler
Login,Anmelden
Login After,Nach dem Login
Login Before,Login vor
Logout,Ausloggen
Long Text,Langtext
Lucida Grande,Lucida Grande
Mail Footer,Mail Footer
Mail Server,Mail Server
Main Section,Main Section
Make a new,Machen Sie einen neuen
Make sure that the transactions you want to restrict have a Link field 'territory' that maps to a 'Territory' master.,"Stellen Sie sicher, dass die Transaktionen, die Sie möchten, um die Link-Feld zu beschränken ""Gebiet"" haben, dass die Karten auf den ""Territory"" Master."
Male,Männlich
Mandatory,Verpflichtend
Mandatory filters required:\n,Pflicht Filter erforderlich : \ n
Master,Master
Match,Entsprechen
Max Attachments,Max Attachments
"Meaning of Submit, Cancel, Amend","Bedeutung Absenden, Abbrechen, Amend"
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>","Menüpunkte in der oberen Leiste. Zum Einstellen der Farbe der Top Bar, zu gehen <a href=""#Form/Style Settings"">Style Einstellungen</a>"
"Merging is only possible between Group-to-Group or 
					Ledger-to-Ledger",
Message,Nachricht
Method,Verfahren
Middle Name (Optional),Middle Name (Optional)
Millions,Millions
Misc,Misc
Miscellaneous,Verschieden
Missing Values Required,Fehlende Werte Erforderlich
Modified by,Geändert von
Module,Modul
Module Def,Module Def
Module Name,Modulname
Modules,Module
Monday,Montag
More,Mehr
More content for the bottom of the page.,Mehr Inhalte für die unten auf der Seite.
Must have report permission to access this report.,"Muss Bericht Erlaubnis, diesen Bericht zugreifen."
Must specify a Query to run,Muss eine Abfrage angeben zu laufen
My Settings,Meine Einstellungen
Name,Name
Name Case,Name Gehäuse
Name Exists,Namen existiert
Naming Series mandatory,Benennen Series obligatorisch
New,neu
New Password,New Password
New Record,Neuer Rekord
New value to be set,Neuer Wert eingestellt werden
Next Communcation On,Weiter Communcation On
Next State,Weiter State
Next actions,Nächste Veranstaltungen
No,Auf
No Action,In Aktion
No Cache,Kein Cache
No Communication tagged with this ,Keine Kommunikation mit diesem getaggt
No Copy,No Copy
No Permission,In Permission
No Permission to ,Keine Berechtigung um
No Permissions set for this criteria.,In die Berechtigungen für diese Kriterien.
No Sitemap,Kein Sitemap
No User Properties found.,In der User Properties gefunden.
No further records,Keine weiteren Datensätze
No one,Keiner
No permission to write / remove.,Keine Berechtigung zu schreiben / zu entfernen.
No records tagged.,In den Datensätzen markiert.
