 by Role ,von Rolle
None,Keine
Not Found,Nicht gefunden
Not Linked to any record.,Nicht zu jedem Datensatz verknüpft.
Not Permitted,Nicht zulässig
Not allowed for: ,Nicht zugelassen:
Not equals,Nicht Gleichen
"Note: For best results, images must be of the same size and width must be greater than height.","Hinweis: Für beste Ergebnisse, Bilder müssen die gleiche Größe und Breite muss größer sein als die Höhe."
Note: Other permission rules may also apply,Hinweis: Weitere Regeln können die Erlaubnis auch gelten
Note: maximum attachment size = 1mb,Hinweis: Die maximale Größe von Anhängen = 1mb
Nothing to show,"Nichts zu zeigen,"
Nothing to show for this selection,Nichts für diese Auswahl zeigen
Notification Count,Benachrichtigung Graf
On,Auf
"Once you have set this, the users will only be able access documents with that property.","Sobald Sie dies eingestellt haben, werden die Benutzer nur Zugriff auf Dokumente mit dieser Eigenschaft sein."
Only Administrator allowed to create Query / Script Reports,"Nur Administrator erlaubt, Query / Script Reports erstellen"
Only Administrator can save a standard report. Please rename and save.,Nur Administrator können eine Standard-Bericht. Bitte benennen und zu speichern.
Only Allow Edit For,Für nur erlauben bearbeiten
Only System Manager can create / edit reports,Nur System-Manager können / Berichte bearbeiten
Open Count,Offene Graf
Open Sans,Offene Sans
Options,Optionen
Options Help,Optionen Hilfe
Org History,Org Geschichte
Org History Heading,Org Geschichte Unterwegs
Other,Andere
POP3 Mail Server (e.g. pop.gmail.com),POP3 Mail Server (beispielsweise pop.gmail.com)
Page,Seite
Page Background,Seite Hintergrund
Page Border,Seite Border
Page HTML,HTML-Seite
Page Headings,Seite Rubriken
Page Links,Diese Seite Links
Page Name,Page Name
Page Name Field,Seite Name Feld
Page Role,Seite Role
Page Text,Seite Text
Page already exists,Seite bereits vorhanden
Page content,Seiteninhalt
Page not found,Seite nicht gefunden
Page or Generator,Seite oder Generator
Page text and background is same color. Please change.,Text und Hintergrund ist die gleiche Farbe. Bitte ändern.
"Page to show on the website
",
"Page url name (auto-generated) (add "".html"")","Seite url Namen (automatisch generierte) (zus. ""Html"")"
Parent Label,Eltern Etikett
Parent is required.,Elternteil erforderlich.
Participants,Die Teilnehmer
Password,Kennwort
Password Expires in (days),Kennwort läuft ab in (Tage)
Password Updated,Aktualisiert Passwort
Patch,Fleck
Patch Log,Anmelden Patch-
Percent,Prozent
Perm Level,Perm Stufe
Permission Level,Berechtigungsstufe
Permission Levels,Berechtigungsstufen
Permission Manager,Permission Manager
Permission Rules,Permission-Regeln
Permissions,Berechtigungen
Permissions Settings,Berechtigungen Einstellungen
Permissions are automatically translated to Standard Reports and Searches,Berechtigungen werden automatisch auf Standard Reports und Suchen übersetzt
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.","Berechtigungen für Rollen und Dokumenttypen (genannt doctypes) werden durch die Beschränkung lesen, bearbeiten, neue gesetzt, einreichen, abzubrechen, und Bericht Amend Rechte."
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,"Berechtigungen sind auf höheren Ebenen 'Level Field' Berechtigungen. Alle Felder haben eine ""Permission Level 'Satz gegen sie und die Regeln zu diesem definierten Berechtigungen gelten für das Feld. Dies ist nützlich, falls man sich zu verstecken oder zu bestimmten Gebiet nur gelesen werden soll."
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.","Berechtigungen sind auf Stufe 0 'Level Document ""-Berechtigungen, dh sie sind für die primäre Zugang zu dem Dokument."
Permissions translate to Users based on what Role they are assigned,"Berechtigungen für Benutzer auf, welche Rolle sie zugeordnet sind, basiert übersetzen"
Person,Person
Phone,Telefon
Phone No.,Telefon Nr.
Pick Columns,Wählen Sie Spalten
Please attach a file first.,Bitte fügen Sie eine Datei zuerst.
Please attach a file or set a URL,Bitte fügen Sie eine Datei oder stellen Sie eine URL
Please change the value,Bitte ändern Sie den Wert
Please enable pop-ups,Bitte aktivieren Sie Pop-ups
Please make sure that there are no empty columns in the file.,"Bitte stellen Sie sicher, dass es keine leeren Spalten in der Datei."
Please refresh to get the latest document.,Bitte aktualisieren Sie das neueste Dokument zu erhalten.
Please select a file or url,Bitte wählen Sie eine Datei oder URL
Please specify,Bitte geben Sie
Please specify a,Bitte geben Sie eine
Plugin,Plugin
Post Publicly,Sende Öffentlich
Post Topic,Beitrag Thema
Posts,Beiträge
Primary,Primär
Print Format,Drucken Format
Print Format Type,Drucken Format Type
Print Hide,Drucken ausblenden
Print Width,Druckbreite
Print...,Drucken ...
Priority,Priorität
Private,Privat
Profile,Profil
Profile Defaults,Profil Defaults
Profile Represents a User in the system.,Stellt ein Benutzerprofil im System.
Profile of a Blogger,Profil eines Blogger
Profile of a blog writer.,Profil eines Blog-Schreiber.
Properties,Eigenschaften
Property,Eigentum
Property Setter,Property Setter
Property Setter overrides a standard DocType or Field property,Property Setter überschreibt die Standard-DocType Feld oder Eigenschaft
Property Type,Art der Immobilie
Public,Öffentlichkeit
Published,Veröffentlicht
Published On,Veröffentlicht am
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,Ziehen Sie Emails aus dem Posteingang und bringen Sie die Kommunikation Them zeichnet (für bekannte Kontakte).
Query,Abfrage
Query Options,Abfrageoptionen
Query Report,Query Report
Query must be a SELECT,Abfrage muss ein SELECT sein
Quick Help for Setting Permissions,Schnelle Hilfe für Festlegen von Berechtigungen
Quick Help for User Properties,Schnelle Hilfe für User Properties
Read,Lesen
Read Only,Nur Lesen
Received,Received
Recipient,Empfänger
Recipients,Empfänger
Ref DocType,Ref DocType
Ref Name,Ref Namen
Ref Type,Ref Type
Reference DocName,Referenz DocName
Reference DocType,Referenz DocType
Reference Name,Reference Name
Reference Type,Referenztyp
Refresh,Erfrischen
Registered but disabled.,"Registriert, aber deaktiviert."
Registration Details Emailed.,Details zur Anmeldung zugeschickt.
Remove Bookmark,Lesezeichen entfernen
Rename...,Benennen Sie ...
Repeat On,Wiederholen On
Repeat Till,Wiederholen Bis
Repeat this Event,Wiederholen Sie diesen Termin
Report,Bericht
Report Builder,Report Builder
Report Builder reports are managed directly by the report builder. Nothing to do.,Report Builder-Berichte werden direkt vom Report Builder verwaltet. Nichts zu tun.
Report Hide,Ausblenden Bericht
Report Name,Report Name
Report Type,Melden Typ
Report was not saved (there were errors),Bericht wurde nicht gespeichert (es gab Fehler)
Represents the states allowed in one document and role assigned to change the state.,Stellt die Zustände in einem Dokument und Veränderung zugewiesene Rolle des Staates erlaubt.
Reqd,Reqd
Reset Password Key,Passwort zurücksetzen Key
Restrict IP,Beschränken IP
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Beschränken Sie Benutzer aus dieser IP-Adresse nur. Mehrere IP-Adressen können durch Trennung mit einem Komma hinzugefügt werden. Nimmt auch Teil einer IP-Adressen wie (111.111.111)
Restricting By User,Durch Einschränken von Benutzerrechten
Right,Rechts
Role,Rolle
Role Name,Rolle Name
Roles,Rollen
Roles Assigned,Assigned Roles
Roles Assigned To User,Zugewiesenen Rollen Benutzer
Roles HTML,Rollen HTML
Root ,Wurzel
Row,Reihe
Rules defining transition of state in the workflow.,Regeln definieren Zustandsübergang im Workflow.
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Regeln für die Staaten sind Übergänge, wie neben Staat und welche Rolle darf Staates usw. ändern"
SMS,SMS
Sales,Vertrieb
Same file has already been attached to the record,Gleiche Datei bereits auf den Rekordwert angebracht
Saturday,Samstag
Save,Sparen
Scheduler Log,Scheduler Log
Script,Skript
Script Report,Script melden
Script Type,Script Type
Script to attach to all web pages.,Script auf alle Webseiten zu befestigen.
Search,Suchen
Search Fields,Search Fields
Section Break,Section Break
Security Settings,Security Settings
Select,Wählen
Select Document Type,Wählen Sie Document Type
Select Document Type or Role to start.,Wählen Sie Dokumenttyp oder Rolle zu beginnen.
Select Module,Select Module
Select Role,Wählen Sie Rolle
Select Type,Typ wählen
Select User or Property to start.,Wählen Sie Benutzer-oder Property zu starten.
Select a Banner Image first.,Wählen Sie ein Banner Bild zuerst.
Select an image of approx width 150px with a transparent background for best results.,Wählen Sie ein Bild von ca. 150px Breite mit einem transparenten Hintergrund für beste Ergebnisse.
Select or drag across time slots to create a new event.,Wählen oder ziehen in Zeitfenstern um ein neues Ereignis zu erstellen.
"Select target = ""_blank"" to open in a new page.","Select target = "" _blank"" in einer neuen Seite zu öffnen."
Select the label after which you want to insert new field.,"Wählen Sie die Bezeichnung, die Sie nach dem Einfügen neuer Bereich."
Send an email reminder in the morning,Senden Sie eine E-Mail-Erinnerung in den Morgen
Send enquiries to this email address,Senden Sie Anfragen an diese E-Mail -Adresse
Sender,Absender
Sent,Sent
Sent Mail,Gesendete E-Mails
Sent Quotation,Gesendete Quotation
Sent or Received,Gesendet oder empfangen
Series,Serie
Server,Server
Session Expired. Logging you out,Session abgelaufen. Sie werden abgemeldet
Session Expires in (time),Läuft in Session (Zeit)
Set Banner from Image,Set Banner von Image
Set Link,Link- Set
Set Password,Set Password
Set Value,Wert festlegen
"Set your background color, font and image (tiled)","Stellen Sie Ihre Hintergrundfarbe, Schrift und Bild (Kachel)"
Settings for About Us Page.,Einstellungen für Über uns Seite.
Settings for Contact Us Page,Einstellungen für Kontakt Seite
Settings for Contact Us Page.,Einstellungen für Kontakt-Seite.
Settings for the About Us Page,Einstellungen für die Über uns Seite
Setup of fonts and background.,Setup von Schriftarten und Hintergrund.
"Setup of top navigation bar, footer and logo.","Setup der oberen Navigationsleiste, Fußzeile und Logo."
Short Bio,Kurzbiografie
Short Name,Kurzer Name
Show Breadcrumbs,Paniermehl anzeigen
Show Details,Details anzeigen
Show Print First,Erste Show Print
Show Table of Contents,Inhaltsverzeichnis anzeigen
Show Tags,Tags anzeigen
Show Title,Titel anzeigen
Show rows with zero values,Zeige Zeilen mit Nullwerten
Single Post (article).,Single Post (Artikel).
Single Types have only one record no tables associated. Values are stored in tabSingles,Einzelne Arten haben nur ein Datensatz keine Tabellen verbunden. Die Werte werden in tabSingles gespeichert
Slideshow,Slideshow
Slideshow Items,Slideshow Artikel
Slideshow Name,Slideshow Namen
Slideshow like display for the website,Slideshow wie Display für die Website
Small Text,Kleiner Text
Solid background color (default light gray),Einfarbigen Hintergrund (Standard lichtgrau)
Special Page Settings,Spezielle Einstellungen Seite
Standard,Standard
Starting up...,Inbetriebnahme ...
Starts on,Beginnt am
Startup,Startup
State,Zustand
States,Staaten
Status,Status
Step 1: Set the name and save.,Schritt 1: Legen Sie den Namen und speichern .
Step 2: Set Letterhead content.,Schritt 2: Briefinhalt.
Style,Stil
Style Settings,Style Einstellungen
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Stil repräsentiert die Farbe der Schaltfläche: Success - Grün, Gefahr - Rot, Inverse - Schwarz, Primary - Dunkelblau, Info - Light Blue, Warnung - Orange"
Sub-domain provided by erpnext.com,Sub-Domain durch erpnext.com vorgesehen
Subdomain,Subdomain
Subject,Thema
Submit,Einreichen
Submitted,Eingereicht
Submitted Record cannot be deleted,Eingereicht Datensatz kann nicht gelöscht werden
Success,Erfolg
Suggestion,Vorschlag
Sunday,Sonntag
Support Email Id,Unterstützt E-Mail-Id
Sync Inbox,Sync Posteingang
System,System
System Defaults,System Defaults
System User,System User
Table,Tabelle
Table of Contents,Inhaltsverzeichnis
Tag,Anhänger
Tag Name,Tag Name
Tags,Tags
Tahoma,Tahoma
Target,Ziel
Team Members,Teammitglieder
Team Members Heading,Teammitglieder Überschrift
Template Path,Vorlagenpfad
Test,Test
Test Runner,Test Runner
Text,Text
Text Align,Text ausrichten
Text Editor,Text Editor
"The ""Web Page"" that is the website home page","Die ""Web Page"", die Homepage der Website ist"
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,"Der Name Ihrer Firma / Website, wie Sie auf Titelleiste des Browsers angezeigt werden soll. Alle Seiten werden diese als Präfix für den Titel haben."
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions","Das System bietet vordefinierte Rollen, aber Sie können <a href='#List/Role'> neue Rollen </ a>, um feinere Berechtigungen festlegen"
Then By (optional),Dann nach (optional)
These properties are Link Type fields from all Documents.,Diese Eigenschaften sind Link-Typ Felder aus allen Dokumenten.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>","Diese Eigenschaften können auch verwendet werden, um 'assign' ein bestimmtes Dokument, dessen Eigenschaft übereinstimmt mit der Benutzer-Eigenschaft auf einen Benutzer werden. Dies kann mit dem <a href='#permission-manager'> Permission Manager </ a> werden"
These properties will appear as values in forms that contain them.,"Diese Eigenschaften werden als Werte in Formen, die sie enthalten, erscheinen."
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,"Diese Werte werden automatisch in Transaktionen aktualisiert werden und wird auch nützlich sein, um Berechtigungen für diesen Benutzer auf Transaktionen mit diesen Werten zu beschränken."
"This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>
myfield
eval:doc.myfield=='My Value'<br>
eval:doc.age>18",
This goes above the slideshow.,Dies geht über die Diashow.
This is PERMANENT action and you cannot undo. Continue?,Dies ist PERMANENT Aktion und können nicht rückgängig gemacht werden. Weiter?
This is permanent action and you cannot undo. Continue?,Dies ist ständige Aktion und können nicht rückgängig gemacht werden. Weiter?
Thursday,Donnerstag
Time,Zeit
Time Zone,Zeitzone
Title,Titel
Title / headline of your page,Titel / Überschrift Ihrer Seite
Title Case,Titel Case
Title Prefix,Title Prefix
"To format columns, give column labels in the query.","Um Spalten zu formatieren, geben Spaltenbeschriftungen in der Abfrage."
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.","Um weiter einschränken Berechtigungen für bestimmte Werte in einem Dokument basiert, verwenden Sie die 'Bedingung' Einstellungen."
"To report an issue, go to ",
To restrict a User of a particular Role to documents that are explicitly assigned to them,"Um einen Benutzer einer bestimmten Rolle zu Dokumenten, die ihnen ausdrücklich zugeordnet beschränken"
To restrict a User of a particular Role to documents that are only self-created.,"Um einen Benutzer einer bestimmten Rolle zu Dokumenten, die nur selbst erstellte sind zu beschränken."
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.","Benutzerrollen, nur um <a gehen href='#List/Profile'> Setup> Benutzer </ a> und klicken Sie auf den Benutzer Rollen zuweisen."
ToDo,ToDo
Tools,Werkzeuge
Top Bar,Top Bar
Top Bar Background,Top Bar Hintergrund
Top Bar Item,Top Bar Artikel
Top Bar Items,Top Bar Artikel
Top Bar Text,Top Bar Text
Top Bar text and background is same color. Please change.,Top Bar Text und Hintergrund ist die gleiche Farbe. Bitte ändern.
Total SMS Sent,Insgesamt SMS gesendet
Transaction,Transaktion
Transition Rules,Übergangsregeln
Trash Reason,Trash Reason
Tuesday,Dienstag
Tweet will be shared via your user account (if specified),Tweet wird via E-Mail Account geteilt werden (falls angegeben)
Twitter Share,Twitter
Twitter Share via,Twitter teilen
Type,Typ
UPPER CASE,UPPER CASE
UPPERCASE,UPPERCASE
URL,URL
Unable to complete request: ,Kann Anforderung abzuschließen:
Unable to load,Kann nicht geladen werden
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","Unbekannte Datei -Codierung. Versucht, UTF-8 , windows -1250 , windows-1252 ."
Unread Messages,Ungelesene Nachrichten
Unsubscribed,Unsubscribed
Upcoming Events for Today,Die nächsten Termine für heute
Update,Aktualisieren
Update Field,Felder aktualisieren
Update Value,Aktualisieren Wert
Upload,laden
Upload Attachment,Anhang hochladen
Upload a file,Hochladen einer Datei
Upload and Import,Upload und Import
Uploading...,Uploading ...
User,Benutzer
User Cannot Create,Benutzer kann sich nicht erstellen
User Cannot Search,Benutzer kann sich nicht durchsuchen
User Image,User Image
User Tags,Nutzertags
User Type,User Type
User not allowed to delete.,"Benutzer nicht erlaubt, zu löschen."
UserRole,UserRole
Value,Wert
Value missing for,Fehlender Wert für
Verdana,Verdana
Visit,Besuchen
Warning,Warnung
Web Content,Web Content
Web Page,Web Page
Website,Webseite
Website Overall Settings,Website Overall Einstellungen
Website Script,Website Script
Website Settings,Website-Einstellungen
Website Sitemap,Website Sitemap
Website Sitemap Config,Website Sitemap Config
Website Slideshow,Website Slideshow
Website Slideshow Item,Website Slideshow Artikel
Website User,Webseite User
Wednesday,Mittwoch
Welcome Email Sent,Willkommen E-Mail gesendet
"When you <b>Amend</b> a document after cancel and save it, it will get a new number that is a version of the old number.","Wenn Sie <b> Amend </ b> ein Dokument nach abbrechen und speichern Sie es, es wird eine neue Nummer, die eine Version der alten Nummer erhalten."
Width,Breite
Will be used in url (usually first name).,Wird in url (in der Regel zuerst Name) verwendet werden.
Workflow,Workflow
Workflow Action,Workflow-Aktion
Workflow Action Master,Workflow-Aktion Meister
Workflow Action Name,Workflow Aktion Name
Workflow Document State,Workflow Document Staat
Workflow Document States,Workflow Document Staaten
Workflow Name,Workflow-Name
Workflow State,Workflow-Status
Workflow State Field,Workflow State Field
Workflow Transition,Workflow Transition
Workflow Transitions,Workflow Transitions
Workflow state represents the current state of a document.,Workflow-Status repräsentiert den aktuellen Status eines Dokuments.
Workflow will start after saving.,Workflow wird nach dem Speichern beginnen.
Write,Schreiben
Write a Python file in the same folder where this is saved and return column and result.,"Schreiben Sie eine Python-Datei im gleichen Ordner, in dem diese gespeichert oder Rückgabebelehrung Spalte und Ergebnis."
Write a SELECT query. Note result is not paged (all data is sent in one go).,Schreiben Sie eine SELECT-Abfrage. Hinweis Ergebnis nicht ausgelagert (alle Daten in einem Rutsch gesendet).
Write titles and introductions to your blog.,Schreiben Sie Titel und Einführungen in Ihrem Blog.
Writers Introduction,Writers Einführung
Year,Jahr
Yes,Ja
Yesterday,Gestern
You can set various 'properties' to Users to set default values and apply permission rules based on the value of these properties in various forms.,"Sie können verschiedene ""Eigenschaften"", um Benutzer auf Standardwerte gesetzt und gelten Erlaubnis Vorschriften über den Wert dieser Eigenschaften in verschiedenen Formen."
You can use <a href='#Form/Customize Form'>Customize Form</a> to set levels on fields.,Sie können <a href='#Form/Customize Form'> Formular anpassen </ a> auf ein Niveau auf den Feldern eingestellt.
Your ERPNext subscription will,Ihr Abonnement wird ERPNext
"Your download is being built, this may take a few moments...","Ihr Download gebaut wird, kann dies einige Zeit dauern ..."
[Label]:[Field Type]/[Options]:[Width],[Label]: [Feldtyp] / [Optionen]: [Breite]
add your own CSS (careful!),fügen Sie Ihre eigenen CSS (Vorsicht!)
adjust,einstellen
align-center,align-center
align-justify,Ausrichtung zu rechtfertigen
align-left,-links ausrichten
align-right,align-right
arrow-down,arrow-down
arrow-left,Pfeil-links
arrow-right,arrow-right
arrow-up,arrow-up
asterisk,Sternchen
backward,rückwärts
ban-circle,ban-Kreis
barcode,Strichcode
bell,Glocke
bold,fett
book,Buch
bookmark,Lesezeichen
briefcase,Aktentasche
bullhorn,Megafon
calendar,Kalender
camera,Kamera
cannot be in its own,nicht in seiner eigenen sein
"cannot have a URL, because it has child item(s)","kann nicht eine URL, weil es Kind item (s) hat"
cannot start with,kann nicht mit starten
certificate,Zertifikat
check,überprüfen
chevron-down,Chevron-down
chevron-left,Chevron-links
chevron-right,Chevron-Rechts
chevron-up,Chevron-up
circle-arrow-down,circle-arrow-down
circle-arrow-left,Kreis-Pfeil-links
circle-arrow-right,circle-arrow-right
circle-arrow-up,circle-arrow-up
cog,Zahn
comment,Kommentar
create a Custom Field of type Link (Profile) and then use the 'Condition' settings to map that field to the Permission rule.,"erstellen ein benutzerdefiniertes Feld vom Typ Link (Profile) und dann die 'Bedingung' Einstellungen, um das Feld der Erlaubnis der Regel abzubilden."
dd-mm-yyyy,dd-mm-yyyy
dd/mm/yyyy,dd / mm / yyyy
does not exist,nicht vorhanden
download,Download
download-alt,Download-alt
edit,bearbeiten
eject,auswerfen
envelope,Umschlag
exclamation-sign,Ausrufezeichen-Zeichen
eye-close,Auge-Schließ
eye-open,Augen öffnen
facetime-video,FaceTime-Video
fast-backward,Schnellrücklauf
fast-forward,Vorlauf
file,Datei
film,Film
filter,filtern
fire,Feuer
flag,Flagge
folder-close,Ordner-close
folder-open,Ordner öffnen
font,Schriftart
forward,vorwärts
fullscreen,Vollbild
gift,Geschenk
glass,Glas
globe,Globus
hand-down,Hand-down
hand-left,Hand-links
hand-right,Hand-Rechts
hand-up,Hand-up
hdd,hdd
headphones,Kopfhörer
heart,Herz
home,Zuhause
icon,icon
in,in
inbox,Posteingang
indent-left,Gedankenstrich links
indent-right,indent-Recht
info-sign,info-Zeichen
is linked in,in Zusammenhang
is not allowed.,ist nicht erlaubt.
italic,kursiv
leaf,Blatt
list,Liste
list-alt,list-alt
lock,sperren
lowercase,Kleinbuchstaben
magnet,Magnet
map-marker,map-Marker
minus,minus
minus-sign,Minus-Zeichen
mm-dd-yyyy,mm-dd-yyyy
mm/dd/yyyy,mm / dd / yyyy
move,bewegen
music,Musik
not in,nicht in
off,ab
ok,Ok
ok-circle,ok-Kreis
ok-sign,ok-Zeichen
or,oder
pause,Pause
pencil,Bleistift
picture,Bild
plane,Flugzeug
play,spielen
play-circle,play-Kreis
plus,plus
plus-sign,Plus-Zeichen
print,drucken
qrcode,qrcode
question-sign,Frage-Zeichen
random,zufällig
refresh,erfrischen
remove,entfernen
remove-circle,remove-Kreis
remove-sign,remove-Anmeldung
repeat,wiederholen
resize-full,resize-full
resize-horizontal,resize-horizontal
resize-small,resize-small
resize-vertical,resize-vertikalen
retweet,retweet
road,Straße
screenshot,Screenshot
search,Suche
share,Aktie
share-alt,Aktien-alt
shopping-cart,Shopping-cart
signal,signalisieren
star,Stern
star-empty,star-empty
step-backward,Schritt-Rückwärts
step-forward,Schritt vorwärts
stop,stoppen
tag,Anhänger
tags,Tags
"target = ""_blank""","target = ""_blank"""
tasks,Aufgaben
text-height,text-Höhe
text-width,Text-width
th,th
th-large,th-groß
th-list,th-Liste
thumbs-down,Daumen runter
thumbs-up,Daumen hoch
time,Zeit
tint,Tönung
to,auf
trash,Müll
upload,laden
user,Benutzer
user_image_show,user_image_show
volume-down,Volumen-down
volume-off,Volumen-off
volume-up,Volumen-up
warning-sign,Warn-Schild
wrench,Schraubenschlüssel
yyyy-mm-dd,yyyy-mm-dd
zoom-in,zoom-in
zoom-out,zoom-out
